word	nodeType	synsetCount	unit	count
forget	VERB	4	01x01_-_Operation_Strix	2
furnish	VERB	2	01x01_-_Operation_Strix	1
gather	VERB	11	01x01_-_Operation_Strix	1
get	VERB	37	01x01_-_Operation_Strix	22
give	VERB	45	01x01_-_Operation_Strix	4
go	VERB	35	01x01_-_Operation_Strix	24
got	VERB	36	01x01_-_Operation_Strix	2
guess	VERB	6	01x01_-_Operation_Strix	1
hand	VERB	16	01x01_-_Operation_Strix	1
handle	VERB	7	01x01_-_Operation_Strix	1
happen	VERB	5	01x01_-_Operation_Strix	2
hate	VERB	2	01x01_-_Operation_Strix	3
have	VERB	20	01x01_-_Operation_Strix	25
head	VERB	42	01x01_-_Operation_Strix	1
hear	VERB	5	01x01_-_Operation_Strix	1
help	VERB	12	01x01_-_Operation_Strix	1
hide	VERB	6	01x01_-_Operation_Strix	1
hit	VERB	24	01x01_-_Operation_Strix	1
hold	VERB	45	01x01_-_Operation_Strix	3
hole	VERB	10	01x01_-_Operation_Strix	1
hurry	VERB	6	01x01_-_Operation_Strix	2
include	VERB	4	01x01_-_Operation_Strix	1
infiltrate	VERB	4	01x01_-_Operation_Strix	1
intercept	VERB	3	01x01_-_Operation_Strix	1
interrogate	VERB	2	01x01_-_Operation_Strix	1
involve	VERB	7	01x01_-_Operation_Strix	1
k*ll	VERB	0	01x01_-_Operation_Strix	2
kid	VERB	7	01x01_-_Operation_Strix	1
kidnap	VERB	1	01x01_-_Operation_Strix	1
know	VERB	12	01x01_-_Operation_Strix	11
lead	VERB	31	01x01_-_Operation_Strix	1
leave	VERB	17	01x01_-_Operation_Strix	4
let	VERB	8	01x01_-_Operation_Strix	8
like	VERB	11	01x01_-_Operation_Strix	7
list	VERB	7	01x01_-_Operation_Strix	1
listen	VERB	3	01x01_-_Operation_Strix	8
live	VERB	19	01x01_-_Operation_Strix	2
lock	VERB	15	01x01_-_Operation_Strix	1
look	VERB	14	01x01_-_Operation_Strix	7
love	VERB	10	01x01_-_Operation_Strix	1
maintain	VERB	10	01x01_-_Operation_Strix	2
make	VERB	51	01x01_-_Operation_Strix	9
marry	VERB	2	01x01_-_Operation_Strix	1
mean	VERB	16	01x01_-_Operation_Strix	2
memorize	VERB	1	01x01_-_Operation_Strix	2
mess	VERB	8	01x01_-_Operation_Strix	2
move	VERB	21	01x01_-_Operation_Strix	4
need	VERB	7	01x01_-_Operation_Strix	10
nurture	VERB	5	01x01_-_Operation_Strix	1
outta	VERB	0	01x01_-_Operation_Strix	1
pardon	VERB	5	01x01_-_Operation_Strix	2
pass	VERB	43	01x01_-_Operation_Strix	2
pen	VERB	6	01x01_-_Operation_Strix	1
perish	VERB	1	01x01_-_Operation_Strix	1
pinpoint	VERB	4	01x01_-_Operation_Strix	1
plan	VERB	7	01x01_-_Operation_Strix	1
play	VERB	52	01x01_-_Operation_Strix	2
plot	VERB	8	01x01_-_Operation_Strix	1
possess	VERB	3	01x01_-_Operation_Strix	1
pray	VERB	2	01x01_-_Operation_Strix	1
prefer	VERB	4	01x01_-_Operation_Strix	1
prepare	VERB	8	01x01_-_Operation_Strix	1
probe	VERB	6	01x01_-_Operation_Strix	1
produce	VERB	8	01x01_-_Operation_Strix	1
promise	VERB	6	01x01_-_Operation_Strix	2
pull	VERB	24	01x01_-_Operation_Strix	1
put	VERB	10	01x01_-_Operation_Strix	4
raise	VERB	31	01x01_-_Operation_Strix	1
reach	VERB	13	01x01_-_Operation_Strix	1
read	VERB	12	01x01_-_Operation_Strix	3
recall	VERB	12	01x01_-_Operation_Strix	1
regret	VERB	5	01x01_-_Operation_Strix	1
relax	VERB	8	01x01_-_Operation_Strix	2
remember	VERB	8	01x01_-_Operation_Strix	1
remind	VERB	2	01x01_-_Operation_Strix	1
report	VERB	13	01x01_-_Operation_Strix	1
resign	VERB	4	01x01_-_Operation_Strix	1
rest	VERB	18	01x01_-_Operation_Strix	1
return	VERB	29	01x01_-_Operation_Strix	3
rework	VERB	1	01x01_-_Operation_Strix	1
rid	VERB	1	01x01_-_Operation_Strix	2
risk	VERB	6	01x01_-_Operation_Strix	1
save	VERB	12	01x01_-_Operation_Strix	2
say	VERB	12	01x01_-_Operation_Strix	2
scold	VERB	3	01x01_-_Operation_Strix	1
see	VERB	25	01x01_-_Operation_Strix	7
sell	VERB	9	01x01_-_Operation_Strix	1
send	VERB	8	01x01_-_Operation_Strix	2
sense	VERB	9	01x01_-_Operation_Strix	1
sh1tte	VERB	0	01x01_-_Operation_Strix	1
shoot	VERB	22	01x01_-_Operation_Strix	1
shop	VERB	7	01x01_-_Operation_Strix	2
show	VERB	16	01x01_-_Operation_Strix	1
sign	VERB	20	01x01_-_Operation_Strix	1
sit	VERB	10	01x01_-_Operation_Strix	1
snatch	VERB	8	01x01_-_Operation_Strix	1
spot	VERB	20	01x01_-_Operation_Strix	2
start	VERB	22	01x01_-_Operation_Strix	2
stay	VERB	16	01x01_-_Operation_Strix	1
steal	VERB	5	01x01_-_Operation_Strix	3
stop	VERB	22	01x01_-_Operation_Strix	1
study	VERB	16	01x01_-_Operation_Strix	5
suck	VERB	8	01x01_-_Operation_Strix	1
survive	VERB	4	01x01_-_Operation_Strix	1
take	VERB	44	01x01_-_Operation_Strix	7
talk	VERB	11	01x01_-_Operation_Strix	1
tell	VERB	9	01x01_-_Operation_Strix	3
think	VERB	14	01x01_-_Operation_Strix	11
thrill	VERB	7	01x01_-_Operation_Strix	1
tie	VERB	18	01x01_-_Operation_Strix	1
trap	VERB	12	01x01_-_Operation_Strix	1
try	VERB	10	01x01_-_Operation_Strix	4
turn	VERB	38	01x01_-_Operation_Strix	3
understand	VERB	5	01x01_-_Operation_Strix	6
use	VERB	13	01x01_-_Operation_Strix	4
wag	VERB	3	01x01_-_Operation_Strix	1
wait	VERB	6	01x01_-_Operation_Strix	1
walk	VERB	17	01x01_-_Operation_Strix	1
waltz	VERB	4	01x01_-_Operation_Strix	1
wander	VERB	5	01x01_-_Operation_Strix	1
wanna	VERB	0	01x01_-_Operation_Strix	4
want	VERB	9	01x01_-_Operation_Strix	4
watch	VERB	13	01x01_-_Operation_Strix	1
wear	VERB	12	01x01_-_Operation_Strix	1
win	VERB	6	01x01_-_Operation_Strix	1
wish	VERB	10	01x01_-_Operation_Strix	1
work	VERB	34	01x01_-_Operation_Strix	3
worry	VERB	8	01x01_-_Operation_Strix	1
write	VERB	10	01x01_-_Operation_Strix	1
abandon	VERB	7	01x02_-_Secure_a_Wife	1
accept	VERB	11	01x02_-_Secure_a_Wife	4
accompany	VERB	4	01x02_-_Secure_a_Wife	1
act	VERB	15	01x02_-_Secure_a_Wife	1
admire	VERB	2	01x02_-_Secure_a_Wife	2
afford	VERB	4	01x02_-_Secure_a_Wife	1
agree	VERB	7	01x02_-_Secure_a_Wife	1
apologize	VERB	2	01x02_-_Secure_a_Wife	1
appear	VERB	7	01x02_-_Secure_a_Wife	1
arrest	VERB	6	01x02_-_Secure_a_Wife	1
arrive	VERB	2	01x02_-_Secure_a_Wife	1
ask	VERB	7	01x02_-_Secure_a_Wife	4
attend	VERB	5	01x02_-_Secure_a_Wife	1
avoid	VERB	5	01x02_-_Secure_a_Wife	2
await	VERB	1	01x02_-_Secure_a_Wife	1
bake	VERB	4	01x02_-_Secure_a_Wife	1
be	VERB	14	01x02_-_Secure_a_Wife	4
become	VERB	4	01x02_-_Secure_a_Wife	1
beg	VERB	4	01x02_-_Secure_a_Wife	1
behave	VERB	3	01x02_-_Secure_a_Wife	2
believe	VERB	5	01x02_-_Secure_a_Wife	2
bet	VERB	5	01x02_-_Secure_a_Wife	1
bleed	VERB	5	01x02_-_Secure_a_Wife	1
bother	VERB	8	01x02_-_Secure_a_Wife	1
bring	VERB	11	01x02_-_Secure_a_Wife	4
call	VERB	41	01x02_-_Secure_a_Wife	3
cap	VERB	11	01x02_-_Secure_a_Wife	1
care	VERB	11	01x02_-_Secure_a_Wife	2
carry	VERB	41	01x02_-_Secure_a_Wife	1
catch	VERB	39	01x02_-_Secure_a_Wife	1
chase	VERB	7	01x02_-_Secure_a_Wife	1
come	VERB	22	01x02_-_Secure_a_Wife	11
consider	VERB	9	01x02_-_Secure_a_Wife	3
continue	VERB	10	01x02_-_Secure_a_Wife	1
cooperate	VERB	1	01x02_-_Secure_a_Wife	1
copy	VERB	8	01x02_-_Secure_a_Wife	1
corner	VERB	14	01x02_-_Secure_a_Wife	1
cut	VERB	70	01x02_-_Secure_a_Wife	1
demand	VERB	11	01x02_-_Secure_a_Wife	1
divorce	VERB	3	01x02_-_Secure_a_Wife	2
do	VERB	16	01x02_-_Secure_a_Wife	17
dodge	VERB	6	01x02_-_Secure_a_Wife	1
dress	VERB	21	01x02_-_Secure_a_Wife	2
drop	VERB	32	01x02_-_Secure_a_Wife	1
eliminate	VERB	7	01x02_-_Secure_a_Wife	2
embarrass	VERB	2	01x02_-_Secure_a_Wife	1
employ	VERB	3	01x02_-_Secure_a_Wife	1
end	VERB	18	01x02_-_Secure_a_Wife	1
endure	VERB	7	01x02_-_Secure_a_Wife	1
enjoy	VERB	5	01x02_-_Secure_a_Wife	1
enter	VERB	9	01x02_-_Secure_a_Wife	1
excuse	VERB	9	01x02_-_Secure_a_Wife	3
exist	VERB	2	01x02_-_Secure_a_Wife	1
explore	VERB	4	01x02_-_Secure_a_Wife	1
extend	VERB	17	01x02_-_Secure_a_Wife	1
fib	VERB	2	01x02_-_Secure_a_Wife	1
figure	VERB	18	01x02_-_Secure_a_Wife	1
fill	VERB	11	01x02_-_Secure_a_Wife	2
find	VERB	18	01x02_-_Secure_a_Wife	8
fix	VERB	17	01x02_-_Secure_a_Wife	1
flaunt	VERB	2	01x02_-_Secure_a_Wife	1
fly	VERB	20	01x02_-_Secure_a_Wife	1
gain	VERB	13	01x02_-_Secure_a_Wife	1
get	VERB	37	01x02_-_Secure_a_Wife	23
give	VERB	45	01x02_-_Secure_a_Wife	5
go	VERB	35	01x02_-_Secure_a_Wife	14
guess	VERB	6	01x02_-_Secure_a_Wife	2
hang	VERB	18	01x02_-_Secure_a_Wife	2
happen	VERB	5	01x02_-_Secure_a_Wife	7
have	VERB	20	01x02_-_Secure_a_Wife	33
hear	VERB	5	01x02_-_Secure_a_Wife	4
help	VERB	12	01x02_-_Secure_a_Wife	6
hide	VERB	6	01x02_-_Secure_a_Wife	1
hit	VERB	24	01x02_-_Secure_a_Wife	1
hold	VERB	45	01x02_-_Secure_a_Wife	2
hop	VERB	9	01x02_-_Secure_a_Wife	2
hope	VERB	9	01x02_-_Secure_a_Wife	1
hurry	VERB	6	01x02_-_Secure_a_Wife	1
impress	VERB	8	01x02_-_Secure_a_Wife	1
interrupt	VERB	5	01x02_-_Secure_a_Wife	1
introduce	VERB	10	01x02_-_Secure_a_Wife	1
invent	VERB	2	01x02_-_Secure_a_Wife	1
joke	VERB	6	01x02_-_Secure_a_Wife	2
k*ll	VERB	0	01x02_-_Secure_a_Wife	1
k*lle	VERB	0	01x02_-_Secure_a_Wife	3
keep	VERB	25	01x02_-_Secure_a_Wife	3
knock	VERB	11	01x02_-_Secure_a_Wife	1
know	VERB	12	01x02_-_Secure_a_Wife	14
learn	VERB	6	01x02_-_Secure_a_Wife	2
leave	VERB	17	01x02_-_Secure_a_Wife	4
let	VERB	8	01x02_-_Secure_a_Wife	10
lie	VERB	10	01x02_-_Secure_a_Wife	2
like	VERB	11	01x02_-_Secure_a_Wife	4
list	VERB	7	01x02_-_Secure_a_Wife	1
look	VERB	14	01x02_-_Secure_a_Wife	7
lose	VERB	11	01x02_-_Secure_a_Wife	3
love	VERB	10	01x02_-_Secure_a_Wife	1
lower	VERB	16	01x02_-_Secure_a_Wife	1
make	VERB	51	01x02_-_Secure_a_Wife	10
manage	VERB	7	01x02_-_Secure_a_Wife	1
marry	VERB	2	01x02_-_Secure_a_Wife	6
mean	VERB	16	01x02_-_Secure_a_Wife	8
meet	VERB	15	01x02_-_Secure_a_Wife	5
mention	VERB	6	01x02_-_Secure_a_Wife	1
mind	VERB	13	01x02_-_Secure_a_Wife	1
miss	VERB	12	01x02_-_Secure_a_Wife	2
mix	VERB	9	01x02_-_Secure_a_Wife	1
need	VERB	7	01x02_-_Secure_a_Wife	8
notice	VERB	11	01x02_-_Secure_a_Wife	1
ogle	VERB	1	01x02_-_Secure_a_Wife	1
own	VERB	2	01x02_-_Secure_a_Wife	1
pardon	VERB	5	01x02_-_Secure_a_Wife	2
pass	VERB	43	01x02_-_Secure_a_Wife	1
perish	VERB	1	01x02_-_Secure_a_Wife	1
pity	VERB	4	01x02_-_Secure_a_Wife	1
play	VERB	52	01x02_-_Secure_a_Wife	2
prepare	VERB	8	01x02_-_Secure_a_Wife	1
presume	VERB	4	01x02_-_Secure_a_Wife	1
pretend	VERB	8	01x02_-_Secure_a_Wife	1
promise	VERB	6	01x02_-_Secure_a_Wife	1
promote	VERB	5	01x02_-_Secure_a_Wife	1
pursue	VERB	4	01x02_-_Secure_a_Wife	1
put	VERB	10	01x02_-_Secure_a_Wife	2
raise	VERB	31	01x02_-_Secure_a_Wife	1
realize	VERB	6	01x02_-_Secure_a_Wife	1
reconvene	VERB	1	01x02_-_Secure_a_Wife	1
recover	VERB	6	01x02_-_Secure_a_Wife	1
refine	VERB	6	01x02_-_Secure_a_Wife	1
regard	VERB	10	01x02_-_Secure_a_Wife	1
report	VERB	13	01x02_-_Secure_a_Wife	3
request	VERB	5	01x02_-_Secure_a_Wife	1
require	VERB	4	01x02_-_Secure_a_Wife	1
reserve	VERB	11	01x02_-_Secure_a_Wife	1
retrieve	VERB	4	01x02_-_Secure_a_Wife	1
run	VERB	57	01x02_-_Secure_a_Wife	1
sacrifice	VERB	9	01x02_-_Secure_a_Wife	1
say	VERB	12	01x02_-_Secure_a_Wife	4
search	VERB	9	01x02_-_Secure_a_Wife	1
see	VERB	25	01x02_-_Secure_a_Wife	9
seem	VERB	4	01x02_-_Secure_a_Wife	2
sell	VERB	9	01x02_-_Secure_a_Wife	2
send	VERB	8	01x02_-_Secure_a_Wife	2
sense	VERB	9	01x02_-_Secure_a_Wife	1
show	VERB	16	01x02_-_Secure_a_Wife	1
shut	VERB	5	01x02_-_Secure_a_Wife	1
slip	VERB	26	01x02_-_Secure_a_Wife	1
sneak	VERB	8	01x02_-_Secure_a_Wife	1
split	VERB	18	01x02_-_Secure_a_Wife	1
star	VERB	12	01x02_-_Secure_a_Wife	1
start	VERB	22	01x02_-_Secure_a_Wife	1
starve	VERB	5	01x02_-_Secure_a_Wife	1
stay	VERB	16	01x02_-_Secure_a_Wife	2
steal	VERB	5	01x02_-_Secure_a_Wife	1
stop	VERB	22	01x02_-_Secure_a_Wife	4
take	VERB	44	01x02_-_Secure_a_Wife	8
talk	VERB	11	01x02_-_Secure_a_Wife	3
taste	VERB	13	01x02_-_Secure_a_Wife	1
teach	VERB	3	01x02_-_Secure_a_Wife	2
tell	VERB	9	01x02_-_Secure_a_Wife	5
tha	VERB	0	01x02_-_Secure_a_Wife	1
thank	VERB	1	01x02_-_Secure_a_Wife	6
think	VERB	14	01x02_-_Secure_a_Wife	5
throw	VERB	20	01x02_-_Secure_a_Wife	1
toy	VERB	8	01x02_-_Secure_a_Wife	1
trip	VERB	12	01x02_-_Secure_a_Wife	1
try	VERB	10	01x02_-_Secure_a_Wife	1
use	VERB	13	01x02_-_Secure_a_Wife	3
value	VERB	11	01x02_-_Secure_a_Wife	1
volunteer	VERB	7	01x02_-_Secure_a_Wife	1
wait	VERB	6	01x02_-_Secure_a_Wife	1
wake	VERB	9	01x02_-_Secure_a_Wife	1
walk	VERB	17	01x02_-_Secure_a_Wife	1
want	VERB	9	01x02_-_Secure_a_Wife	4
waste	VERB	16	01x02_-_Secure_a_Wife	2
watch	VERB	13	01x02_-_Secure_a_Wife	1
wear	VERB	12	01x02_-_Secure_a_Wife	2
work	VERB	34	01x02_-_Secure_a_Wife	2
worry	VERB	8	01x02_-_Secure_a_Wife	3
write	VERB	10	01x02_-_Secure_a_Wife	1
acquire	VERB	7	01x03_-_Prepare_for_the_Interview	1
act	VERB	15	01x03_-_Prepare_for_the_Interview	1
address	VERB	18	01x03_-_Prepare_for_the_Interview	1
apologize	VERB	2	01x03_-_Prepare_for_the_Interview	1
arrange	VERB	7	01x03_-_Prepare_for_the_Interview	1
ask	VERB	7	01x03_-_Prepare_for_the_Interview	2
back	VERB	28	01x03_-_Prepare_for_the_Interview	1
be	VERB	14	01x03_-_Prepare_for_the_Interview	4
beat	VERB	34	01x03_-_Prepare_for_the_Interview	1
become	VERB	4	01x03_-_Prepare_for_the_Interview	1
begin	VERB	11	01x03_-_Prepare_for_the_Interview	1
believe	VERB	5	01x03_-_Prepare_for_the_Interview	1
blend	VERB	6	01x03_-_Prepare_for_the_Interview	1
break	VERB	75	01x03_-_Prepare_for_the_Interview	1
bring	VERB	11	01x03_-_Prepare_for_the_Interview	1
broaden	VERB	4	01x03_-_Prepare_for_the_Interview	1
call	VERB	41	01x03_-_Prepare_for_the_Interview	1
cast	VERB	20	01x03_-_Prepare_for_the_Interview	1
catch	VERB	39	01x03_-_Prepare_for_the_Interview	1
cave	VERB	3	01x03_-_Prepare_for_the_Interview	1
celebrate	VERB	3	01x03_-_Prepare_for_the_Interview	1
change	VERB	20	01x03_-_Prepare_for_the_Interview	2
choose	VERB	3	01x03_-_Prepare_for_the_Interview	1
chop	VERB	11	01x03_-_Prepare_for_the_Interview	2
clean	VERB	31	01x03_-_Prepare_for_the_Interview	1
come	VERB	22	01x03_-_Prepare_for_the_Interview	4
complete	VERB	10	01x03_-_Prepare_for_the_Interview	2
compound	VERB	11	01x03_-_Prepare_for_the_Interview	1
continue	VERB	10	01x03_-_Prepare_for_the_Interview	2
cook	VERB	7	01x03_-_Prepare_for_the_Interview	1
cover	VERB	36	01x03_-_Prepare_for_the_Interview	1
create	VERB	6	01x03_-_Prepare_for_the_Interview	1
crowd	VERB	6	01x03_-_Prepare_for_the_Interview	1
describe	VERB	4	01x03_-_Prepare_for_the_Interview	1
deserve	VERB	1	01x03_-_Prepare_for_the_Interview	1
do	VERB	16	01x03_-_Prepare_for_the_Interview	14
draw	VERB	45	01x03_-_Prepare_for_the_Interview	1
drop	VERB	32	01x03_-_Prepare_for_the_Interview	1
eat	VERB	6	01x03_-_Prepare_for_the_Interview	3
encourage	VERB	3	01x03_-_Prepare_for_the_Interview	1
end	VERB	18	01x03_-_Prepare_for_the_Interview	1
escort	VERB	6	01x03_-_Prepare_for_the_Interview	1
evaluate	VERB	2	01x03_-_Prepare_for_the_Interview	2
expect	VERB	6	01x03_-_Prepare_for_the_Interview	1
experience	VERB	8	01x03_-_Prepare_for_the_Interview	2
fail	VERB	11	01x03_-_Prepare_for_the_Interview	2
fall	VERB	44	01x03_-_Prepare_for_the_Interview	1
feel	VERB	17	01x03_-_Prepare_for_the_Interview	2
figure	VERB	18	01x03_-_Prepare_for_the_Interview	1
find	VERB	18	01x03_-_Prepare_for_the_Interview	6
fit	VERB	16	01x03_-_Prepare_for_the_Interview	1
flirt	VERB	4	01x03_-_Prepare_for_the_Interview	1
follow	VERB	24	01x03_-_Prepare_for_the_Interview	1
forge	VERB	9	01x03_-_Prepare_for_the_Interview	1
forget	VERB	4	01x03_-_Prepare_for_the_Interview	1
further	VERB	11	01x03_-_Prepare_for_the_Interview	1
get	VERB	37	01x03_-_Prepare_for_the_Interview	15
give	VERB	45	01x03_-_Prepare_for_the_Interview	2
go	VERB	35	01x03_-_Prepare_for_the_Interview	21
guess	VERB	6	01x03_-_Prepare_for_the_Interview	3
hand	VERB	16	01x03_-_Prepare_for_the_Interview	1
have	VERB	20	01x03_-_Prepare_for_the_Interview	17
head	VERB	42	01x03_-_Prepare_for_the_Interview	1
help	VERB	12	01x03_-_Prepare_for_the_Interview	7
hide	VERB	6	01x03_-_Prepare_for_the_Interview	2
hold	VERB	45	01x03_-_Prepare_for_the_Interview	2
hope	VERB	9	01x03_-_Prepare_for_the_Interview	1
hug	VERB	3	01x03_-_Prepare_for_the_Interview	1
hurt	VERB	14	01x03_-_Prepare_for_the_Interview	3
introduce	VERB	10	01x03_-_Prepare_for_the_Interview	2
invite	VERB	9	01x03_-_Prepare_for_the_Interview	1
judge	VERB	7	01x03_-_Prepare_for_the_Interview	1
jump	VERB	21	01x03_-_Prepare_for_the_Interview	1
k*ll	VERB	0	01x03_-_Prepare_for_the_Interview	2
k*lle	VERB	0	01x03_-_Prepare_for_the_Interview	1
keep	VERB	25	01x03_-_Prepare_for_the_Interview	3
know	VERB	12	01x03_-_Prepare_for_the_Interview	2
last	VERB	21	01x03_-_Prepare_for_the_Interview	1
lay	VERB	16	01x03_-_Prepare_for_the_Interview	1
lead	VERB	31	01x03_-_Prepare_for_the_Interview	1
leave	VERB	17	01x03_-_Prepare_for_the_Interview	2
let	VERB	8	01x03_-_Prepare_for_the_Interview	9
lie	VERB	10	01x03_-_Prepare_for_the_Interview	1
like	VERB	11	01x03_-_Prepare_for_the_Interview	4
list	VERB	7	01x03_-_Prepare_for_the_Interview	1
live	VERB	19	01x03_-_Prepare_for_the_Interview	3
load	VERB	14	01x03_-_Prepare_for_the_Interview	1
look	VERB	14	01x03_-_Prepare_for_the_Interview	9
lose	VERB	11	01x03_-_Prepare_for_the_Interview	5
love	VERB	10	01x03_-_Prepare_for_the_Interview	1
m*rder	VERB	0	01x03_-_Prepare_for_the_Interview	1
make	VERB	51	01x03_-_Prepare_for_the_Interview	13
marry	VERB	2	01x03_-_Prepare_for_the_Interview	3
match	VERB	19	01x03_-_Prepare_for_the_Interview	1
mean	VERB	16	01x03_-_Prepare_for_the_Interview	5
meet	VERB	15	01x03_-_Prepare_for_the_Interview	2
memorize	VERB	1	01x03_-_Prepare_for_the_Interview	1
mind	VERB	13	01x03_-_Prepare_for_the_Interview	1
need	VERB	7	01x03_-_Prepare_for_the_Interview	4
offer	VERB	16	01x03_-_Prepare_for_the_Interview	1
order	VERB	24	01x03_-_Prepare_for_the_Interview	1
own	VERB	2	01x03_-_Prepare_for_the_Interview	1
pardon	VERB	5	01x03_-_Prepare_for_the_Interview	1
pass	VERB	43	01x03_-_Prepare_for_the_Interview	4
pay	VERB	12	01x03_-_Prepare_for_the_Interview	1
pick	VERB	21	01x03_-_Prepare_for_the_Interview	2
piss	VERB	3	01x03_-_Prepare_for_the_Interview	2
plan	VERB	7	01x03_-_Prepare_for_the_Interview	1
plot	VERB	8	01x03_-_Prepare_for_the_Interview	1
practice	VERB	10	01x03_-_Prepare_for_the_Interview	1
predict	VERB	2	01x03_-_Prepare_for_the_Interview	1
prefer	VERB	4	01x03_-_Prepare_for_the_Interview	1
prepare	VERB	8	01x03_-_Prepare_for_the_Interview	2
pretend	VERB	8	01x03_-_Prepare_for_the_Interview	2
promise	VERB	6	01x03_-_Prepare_for_the_Interview	1
put	VERB	10	01x03_-_Prepare_for_the_Interview	3
receive	VERB	13	01x03_-_Prepare_for_the_Interview	1
rely	VERB	1	01x03_-_Prepare_for_the_Interview	1
remember	VERB	8	01x03_-_Prepare_for_the_Interview	1
remind	VERB	2	01x03_-_Prepare_for_the_Interview	1
rest	VERB	18	01x03_-_Prepare_for_the_Interview	1
retry	VERB	1	01x03_-_Prepare_for_the_Interview	1
say	VERB	12	01x03_-_Prepare_for_the_Interview	5
see	VERB	25	01x03_-_Prepare_for_the_Interview	13
seem	VERB	4	01x03_-_Prepare_for_the_Interview	5
set	VERB	45	01x03_-_Prepare_for_the_Interview	2
settle	VERB	23	01x03_-_Prepare_for_the_Interview	2
share	VERB	10	01x03_-_Prepare_for_the_Interview	1
shop	VERB	7	01x03_-_Prepare_for_the_Interview	1
show	VERB	16	01x03_-_Prepare_for_the_Interview	2
sit	VERB	10	01x03_-_Prepare_for_the_Interview	1
sleep	VERB	6	01x03_-_Prepare_for_the_Interview	2
slip	VERB	26	01x03_-_Prepare_for_the_Interview	1
smell	VERB	10	01x03_-_Prepare_for_the_Interview	1
snack	VERB	2	01x03_-_Prepare_for_the_Interview	1
speak	VERB	5	01x03_-_Prepare_for_the_Interview	1
spend	VERB	3	01x03_-_Prepare_for_the_Interview	2
start	VERB	22	01x03_-_Prepare_for_the_Interview	3
starve	VERB	5	01x03_-_Prepare_for_the_Interview	1
state	VERB	11	01x03_-_Prepare_for_the_Interview	1
stay	VERB	16	01x03_-_Prepare_for_the_Interview	1
